dpto_ccdgo,mpio_ccdgo,mpio_cdpmp,dpto_cnmbr,mpio_cnmbr,mpio_crslc,mpio_tipo,mpio_narea,mpio_nano,shape_Leng,shape_Area
05,001,05001,ANTIOQUIA,MEDELLÍN,1965,MUNICIPIO,374.834004538,2023,1.03537996712,0.0306076491211
05,002,05002,ANTIOQUIA,ABEJORRAL,1814,MUNICIPIO,507.141094544,2023,1.15850364628,0.0413838961866
05,004,05004,ANTIOQUIA,ABRIAQUÍ,1912,MUNICIPIO,296.894049918,2023,0.812183229835,0.0242482554609
05,021,05021,ANTIOQUIA,ALEJANDRÍA,Decreto departamental 304 de 1907,MUNICIPIO,128.932153101,2023,0.705199538543,0.0105345265764
05,030,05030,ANTIOQUIA,AMAGÁ,1912,MUNICIPIO,84.1324771488,2023,0.445533010015,0.00686650706851
05,031,05031,ANTIOQUIA,AMALFI,1843,MUNICIPIO,1209.14546002,2023,2.0587316304,0.0989211006978
05,034,05034,ANTIOQUIA,ANDES,1853,MUNICIPIO,402.465966314,2023,1.14698358029,0.0328165802123
05,036,05036,ANTIOQUIA,ANGELÓPOLIS,Ordenanza 16 del 12 de julio de 1896,MUNICIPIO,81.8763017651,2023,0.427495595534,0.00668338736805
05,038,05038,ANTIOQUIA,ANGOSTURA,1821,MUNICIPIO,338.502286519,2023,0.916465302925,0.0276795599543
05,040,05040,ANTIOQUIA,ANORÍ,1821,MUNICIPIO,1413.77571881,2023,1.84764405946,0.115706036891
05,042,05042,ANTIOQUIA,SANTA FÉ DE ANTIOQUIA,1541,MUNICIPIO,525.583078416,2023,1.12137203188,0.0429272878461
05,044,05044,ANTIOQUIA,ANZÁ,1813,MUNICIPIO,255.923313888,2023,0.74683516477,0.0208933711105
05,045,05045,ANTIOQUIA,APARTADÓ,Ordenanza 7 de Noviembre 30 de 1967,MUNICIPIO,535.156288792,2023,1.28560849381,0.0437997969967
05,051,05051,ANTIOQUIA,ARBOLETES,Decreto departamental 340 del 30 de Agosto  de 1958,MUNICIPIO,754.2378904,2023,1.86021161143,0.0618536257581
05,055,05055,ANTIOQUIA,ARGELIA,Ordenanza 19 de Diciembre 5 de 1960,MUNICIPIO,245.341782336,2023,1.06233838013,0.0200221218902
05,059,05059,ANTIOQUIA,ARMENIA,Ordenanza 20 del 25 de Junio de 1894,MUNICIPIO,110.434975069,2023,0.502777095499,0.00901440259611
05,079,05079,ANTIOQUIA,BARBOSA,1812,MUNICIPIO,205.641781194,2023,0.770239824805,0.016801905887
05,086,05086,ANTIOQUIA,BELMIRA,1814,MUNICIPIO,296.153167005,2023,1.17300353408,0.0242003553551
05,088,05088,ANTIOQUIA,BELLO,Ordenanza 48 del 29 deAbril de 1913,MUNICIPIO,147.694282778,2023,0.620634840362,0.0120627474541
05,091,05091,ANTIOQUIA,BETANIA,Ordenanza 42 del 24 de Abril de 1920,MUNICIPIO,180.524926983,2023,0.692872364337,0.0147212975479
05,093,05093,ANTIOQUIA,BETULIA,Decreto departamental 629 del 28 de Enero de 1884,MUNICIPIO,262.367502259,2023,0.847675552981,0.0214135235663
05,101,05101,ANTIOQUIA,CIUDAD BOLÍVAR,1869,MUNICIPIO,263.786647595,2023,0.737861049383,0.0215147187932
05,107,05107,ANTIOQUIA,BRICEÑO,Ordenanza 27 de Noviembre 26 de 1980,MUNICIPIO,376.346755879,2023,1.00447196976,0.0307849622582
05,113,05113,ANTIOQUIA,BURITICÁ,1812,MUNICIPIO,355.297864791,2023,0.965814852985,0.0290347315004
05,120,05120,ANTIOQUIA,CÁCERES,Decreto departamental 160 del 16 de Marzo de 1903,MUNICIPIO,1873.73390115,2023,2.93574452108,0.153498756411
05,125,05125,ANTIOQUIA,CAICEDO,Decreto 1303 de Noviembre 27 de 1908,MUNICIPIO,200.129882946,2023,0.645523391147,0.0163405210858
05,129,05129,ANTIOQUIA,CALDAS,Ordenanza 01 del 20 de Noviembre de 1848,MUNICIPIO,132.796551084,2023,0.533045118283,0.0108395193971
05,134,05134,ANTIOQUIA,CAMPAMENTO,1835,MUNICIPIO,232.191767256,2023,0.874294739898,0.018994292185
05,138,05138,ANTIOQUIA,CAÑASGORDAS,1855,MUNICIPIO,364.832359366,2023,1.06277592391,0.0298103201646
05,142,05142,ANTIOQUIA,CARACOLÍ,Ordenanza 19 de Noviembre 30 de 1963,MUNICIPIO,262.798775634,2023,1.01478528566,0.0214749880267
05,145,05145,ANTIOQUIA,CARAMANTA,1842,MUNICIPIO,92.083683052,2023,0.500783376206,0.00750980952241
05,147,05147,ANTIOQUIA,CAREPA,Ordenanza 7 de Diciembre 15 de 1983,MUNICIPIO,387.286730615,2023,1.30789675725,0.031685083894
05,148,05148,ANTIOQUIA,EL CARMEN DE VIBORAL,1814,MUNICIPIO,423.6550964,2023,1.38838321321,0.0345865219922
05,150,05150,ANTIOQUIA,CAROLINA,1814,MUNICIPIO,149.580818108,2023,0.580840647806,0.012229171128
05,154,05154,ANTIOQUIA,CAUCASIA,1942,MUNICIPIO,1429.08227891,2023,3.02475638262,0.117141332052
05,172,05172,ANTIOQUIA,CHIGORODÓ,Ordenanza 52 del 27 de Abril de 1915,MUNICIPIO,721.682645254,2023,1.61038554469,0.0590231957453
05,190,05190,ANTIOQUIA,CISNEROS,Ordenanza 11 del 13 de Abril de 1923,MUNICIPIO,46.884779516,2023,0.387912893938,0.00383214750902
05,197,05197,ANTIOQUIA,COCORNÁ,1864,MUNICIPIO,241.142177437,2023,1.1288112913,0.0196888293073
05,206,05206,ANTIOQUIA,CONCEPCIÓN,1773,MUNICIPIO,202.054485681,2023,0.715055877613,0.0165080224531
05,209,05209,ANTIOQUIA,CONCORDIA,1848,MUNICIPIO,247.880390496,2023,0.749955373045,0.0202276879598
05,212,05212,ANTIOQUIA,COPACABANA,1812,MUNICIPIO,67.8568045618,2023,0.514612210723,0.00554248699157
05,234,05234,ANTIOQUIA,DABEIBA,1887,MUNICIPIO,1957.26270789,2023,2.59275579286,0.15992648309
05,237,05237,ANTIOQUIA,DONMATÍAS,1814,MUNICIPIO,203.320803593,2023,0.930370733977,0.0166137668058
05,240,05240,ANTIOQUIA,EBÉJICO,1833,MUNICIPIO,237.743451478,2023,0.803674139579,0.0194125500367
05,250,05250,ANTIOQUIA,EL BAGRE,Ordenanza 22 de Octubre 30 de 1979,MUNICIPIO,1560.24755631,2023,2.29691184153,0.127866778822
05,264,05264,ANTIOQUIA,ENTRERRÍOS,Decreto departamental del 25 de Mayo de 1835,MUNICIPIO,214.195945828,2023,0.792397579995,0.017502645181
05,266,05266,ANTIOQUIA,ENVIGADO,1814,MUNICIPIO,79.5275859408,2023,0.503300224026,0.006493089189
05,282,05282,ANTIOQUIA,FREDONIA,Decreto departamental del 2 de Octubre de 1830,MUNICIPIO,253.760538519,2023,0.880315202848,0.0207060108214
05,284,05284,ANTIOQUIA,FRONTINO,1859,MUNICIPIO,1384.19329471,2023,2.38959147677,0.113029442656
