ID_DESASTRES,FECHA,DEPTO,MUNICIPIO,TIPO_EVENTO,DIVIPOLA,FALLECIDOS,HERIDOS,DESAPA,AFECTADOS,FAMILIAS,VIV_DESTRU,VIV_AVERI,COD_DANE_MP,COD_DEP,COD_MUN,COD_DEP_MUN,ID_DESASTRES
9831IBQZ,2001-01-09,VALLE DEL CAUCA,BUENAVENTURA,VENDAVAL,0,0,0,0,140,28,0,28,76.109,76,109,76109,9831IBQZ
0838IFNG,2001-01-25,RISARALDA,PEREIRA,MOVIMIENTO EN MASA,0,1,0,0,0,0,0,0,66.001,66,001,66001,0838IFNG
9062QCUX,2001-01-29,PUTUMAYO,PUERTO GUZMÁN,VENDAVAL,0,0,0,0,330,66,0,66,86.571,86,571,86571,9062QCUX
7113SLFK,2001-01-29,PUTUMAYO,MOCOA,VENDAVAL,0,0,0,0,50,10,0,10,86.001,86,001,86001,7113SLFK
9102JIKE,2001-02-03,TOLIMA,COYAIMA,INUNDACION,0,0,0,0,117,19,0,17,73.217,73,217,73217,9102JIKE
1937JOMK,2001-02-08,VALLE DEL CAUCA,BUENAVENTURA,INUNDACION,0,0,0,0,140,28,0,28,76.109,76,109,76109,1937JOMK
8488HCCI,2001-02-09,CHOCÓ,LLORÓ,VENDAVAL,0,0,0,0,520,104,0,104,27.413,27,413,27413,8488HCCI
8928JKUV,2001-02-20,CAUCA,CALOTO,VENDAVAL,0,0,0,0,10,2,1,1,19.142,19,142,19142,8928JKUV
9490TNWY,2001-02-27,RISARALDA,PEREIRA,INUNDACION,0,0,0,0,67,18,0,0,66.001,66,001,66001,9490TNWY
9302KTPA,2001-03-02,TOLIMA,MELGAR,MOVIMIENTO EN MASA,0,1,0,0,209,43,14,9,73.449,73,449,73449,9302KTPA
7513HKNG,2001-03-02,CAUCA,SILVIA,VENDAVAL,0,0,0,0,795,159,0,0,19.743,19,743,19743,7513HKNG
7265KTVA,2001-03-02,CAUCA,CALDONO,VENDAVAL,0,0,0,0,435,87,0,60,19.137,19,137,19137,7265KTVA
6525QZDD,2001-03-04,RISARALDA,PEREIRA,INUNDACION,0,0,0,0,260,52,0,52,66.001,66,001,66001,6525QZDD
6581KAPO,2001-03-04,RISARALDA,DOSQUEBRADAS,INUNDACION,0,0,3,0,340,68,0,68,66.17,66,170,66170,6581KAPO
9960VSLI,2001-03-06,TOLIMA,EL ESPINAL,INUNDACION,0,0,0,0,470,98,0,55,73.268,73,268,73268,9960VSLI
7120RWCD,2001-03-06,TOLIMA,VENADILLO,INUNDACION,0,0,0,0,19,5,0,5,73.861,73,861,73861,7120RWCD
9320OLNL,2001-03-10,VALLE DEL CAUCA,SEVILLA,MOVIMIENTO EN MASA,0,0,0,0,70,17,17,0,76.736,76,736,76736,9320OLNL
9255EPCT,2001-03-11,MAGDALENA,CHIVOLO,VENDAVAL,0,0,0,0,971,179,0,125,47.17,47,170,47170,9255EPCT
8476KZRZ,2001-03-11,MAGDALENA,CHIVOLO,INUNDACION,0,0,0,0,628,125,0,60,47.17,47,170,47170,8476KZRZ
3131ZLNE,2001-03-20,CHOCÓ,CONDOTO,VENDAVAL,0,0,0,0,155,31,0,31,27.205,27,205,27205,3131ZLNE
8874MPOV,2001-03-21,TOLIMA,VENADILLO,INUNDACION,0,0,0,0,278,71,0,60,73.861,73,861,73861,8874MPOV
